id,prefecture,corporation,school_name,url_candidate_1,url_candidate_2,url_candidate_3,confidence,url_type,http_status,search_pattern_used,notes
11,奈良県,奈良県病院協会（社団）,奈良県病院協会看護専門学校,https://kango.narahpa.or.jp/,https://www.best-shingaku.net/senmon/school4479/,https://school.js88.com/scl_sen/2527/,0.95,school,200,school_name,Hospital association subdomain; name in title
12,宮城県,三幸学園,仙台ビューティアート専門学校,https://www.sanko.ac.jp/sendai-beauty/,https://shingakunet.com/gakko/SC003718/,https://shingaku.mynavi.jp/gakkou/1088/,0.95,corporation_subpage,200,school_name,Sanko group site; note formal name is 仙台ビューティーアート
13,宮崎県,宮崎総合学院,大原簿記公務員専門学校,https://www.koumuin.ac.jp/,https://shingaku.mynavi.jp/gakkou/4343/,https://school.js88.com/scl_sen/3288/,0.90,school,200,school_name+prefecture,Dedicated domain; name is generic so prefecture context helped
14,富山県,青池学園,富山リハビリテーション医療福祉大学校,https://reha.aoike-toyama.com/,https://shingakunet.com/gakko/SC005855/,https://shingaku.mynavi.jp/gakkou/5759/,0.95,school,200,school_name,Aoike group subdomain; dedicated school page
15,山口県,山口県,山口県立萩看護学校,https://www.pref.yamaguchi.lg.jp/soshiki/71/18933.html,https://shingakunet.com/gakko/SC005914/,https://school.js88.com/scl_sen/2789/,0.90,government,200,school_name,Prefectural school; page is on prefecture government site
16,山形県,大原学園,山形スポーツ医療福祉専門学校,https://www.o-hara.ac.jp/senmon/school/yamagata/,https://shingakunet.com/gakko/SC005867/,https://shingaku.mynavi.jp/gakkou/5816/,0.90,corporation_subpage,200,school_name,Name changed from 大原簿記情報ビジネス医療福祉 in April 2025
17,山梨県,山梨勤労者医療協会（社団）,共立高等看護学院,https://kyoritsukoukan.com/,http://www.yamanashi-min.jp/Krkk/,https://shingakunet.com/gakko/SC005343/,0.90,school,200,school_name+prefecture,Dedicated domain; association-operated school
18,岐阜県,岐阜県,岐阜県立国際園芸アカデミー,https://www.horticulture.ac.jp/,https://www.pref.gifu.lg.jp/soshiki/24413/,https://shingakunet.com/gakko/SC005977/,0.95,school,200,school_name,Dedicated ac.jp domain; also has prefectural page
19,岡山県,大原学園,大原ビジネス公務員専門学校岡山校,https://www.o-hara.ac.jp/senmon/school/okayama/,https://shingakunet.com/gakko/SC006726/,https://shingaku.mynavi.jp/gakkou/7078/,0.95,corporation_subpage,200,school_name,Ohara group site with school-specific subpage
20,岩手県,大原学園,大原スポーツ公務員専門学校盛岡校,https://www.o-hara.ac.jp/senmon/school/morioka_koumuin/,https://shingakunet.com/gakko/SC005761/,https://shingaku.mynavi.jp/gakkou/5515/,0.90,corporation_subpage,200,school_name,Name changed to 大原ビジネス公務員専門学校盛岡校 in April 2024
21,島根県,澤田学園,松江総合医療専門学校,https://www.matsuecc.ac.jp/,https://shingakunet.com/gakko/SC003041/,https://www.minkou.jp/vcollege/school/23129/,0.95,school,200,school_name+prefecture,Dedicated ac.jp domain
22,広島県,穴吹学園,穴吹デザイン専門学校,https://web.anabukih.ac.jp/,https://shingakunet.com/gakko/SC001486/,https://school.js88.com/scl_sen/2687/,0.95,school,200,school_name+prefecture,Dedicated domain for Hiroshima Anabuki schools
23,徳島県,健祥会（福祉）,専門学校健祥会学園,https://www.kenshokai.ac.jp/,https://shingakunet.com/gakko/SC002987/,https://school.js88.com/scl_sen/2829/,0.95,school,200,school_name,Dedicated ac.jp domain; welfare corporation school
24,愛媛県,愛媛県,愛媛県立農業大学校,https://himekare.jp/,https://www.pref.ehime.jp/soshiki/92/,https://shingakunet.com/gakko/SC005353/,0.85,school,200,school_name,Branded name えひめ農業未来カレッジ; also has prefectural page
25,愛知県,立志舎,東京ITプログラミング＆会計専門学校名古屋校,https://nagoya-itkaikei.ac.jp/,https://shingakunet.com/gakko/SC002869/,https://shingaku.mynavi.jp/gakkou/1503/,0.95,school,200,school_name,Dedicated domain; Risshisha group
26,新潟県,国際総合学園,国際ビューティモード専門学校,https://www.beauty-mode.ac.jp/,https://shingakunet.com/gakko/SC003225/,https://shingaku.mynavi.jp/gakkou/3487/,0.95,school,200,school_name+prefecture,Dedicated ac.jp domain; NSG College League member
27,東京都,大原学園,大原法律専門学校,https://www.o-hara.ac.jp/senmon/school/tokyo_koumuin/,https://school.o-hara.ac.jp/tokyo_koumuin/,https://shingakunet.com/gakko/SC001948/,0.95,corporation_subpage,200,school_name+corporation,Ohara group; two URLs (main site and school site)
28,栃木県,獨協学園,獨協医科大学附属看護専門学校,https://www.dokkyomed.ac.jp/kango/,https://shingakunet.com/gakko/SC005323/,https://school.js88.com/scl_sen/536/,0.95,corporation_subpage,200,school_name+prefecture,University-affiliated; subpage of Dokkyo Medical University
29,沖縄県,石川学園,大育理容美容専門学校,https://www.daiiku.ac.jp/hair/,https://shingakunet.com/gakko/SC005496/,https://www.minkou.jp/vcollege/school/23821/,0.90,corporation_subpage,200,school_name+prefecture,Daiiku network site; subpage for beauty school
30,滋賀県,人滋賀県私立病院協会（社団）,滋賀県堅田看護専門学校,https://www.katata-kango.ac.jp/,https://shingaku.mynavi.jp/gakkou/7445/,https://www.best-shingaku.net/senmon/school4425/,0.95,school,200,school_name,Dedicated ac.jp domain
31,熊本県,大原学園,熊本保育医療スポーツ専門学校,https://www.o-hara.ac.jp/senmon/school/kumamoto_iryo/,https://shingakunet.com/gakko/SC005836/,https://shingaku.mynavi.jp/gakkou/5759/,0.95,corporation_subpage,200,school_name+corporation,Ohara group site with school-specific subpage
32,石川県,大原学園,金沢情報ITクリエイター専門学校,https://www.o-hara.ac.jp/senmon/school/kanazawa_it/,https://shingakunet.com/gakko/SC001557/,https://shingaku.mynavi.jp/gakkou/2791/,0.95,corporation_subpage,200,school_name+corporation,Ohara group site with school-specific subpage
33,神奈川県,聖ヶ丘学園,聖ヶ丘保育専門学校,https://hijiri.ac.jp/,https://shingakunet.com/gakko/SC001793/,https://shingaku.mynavi.jp/gakkou/7020/,0.95,school,200,school_name+prefecture,Dedicated ac.jp domain; 90-year tradition school
34,福井県,大原学園,大原ビジネス公務員専門学校福井校,https://www.o-hara.ac.jp/senmon/school/fukui/,https://shingakunet.com/gakko/SC003518/,https://shingaku.mynavi.jp/gakkou/5759/,0.95,corporation_subpage,200,school_name,Ohara group site with school-specific subpage
35,福岡県,21世紀アカデメイア,専門学校福岡ビジネス・アカデミー,https://www.ksb.ac.jp/,https://shingakunet.com/gakko/SC001436/,https://shingaku.mynavi.jp/gakkou/461/,0.85,school,200,school_name+corporation,Domain still ksb.ac.jp from old name (九州スクール・オブ・ビジネス); renamed April 2024
36,福島県,国際総合学園,国際医療看護福祉大学校,https://www.i-medical.jp/,https://shingakunet.com/gakko/SC003587/,https://shingaku.mynavi.jp/gakkou/5546/,0.95,school,200,school_name+corporation,Dedicated domain (iMEDICAL brand); FSG College League member
37,秋田県,秋田県,秋田県立衛生看護学院,https://www.pref.akita.lg.jp/pages/genre/13191,https://shingakunet.com/gakko/SC006051/,https://school.js88.com/scl_sen/335/,0.85,government,200,school_name,Prefectural school on government site; no dedicated domain
38,群馬県,未来学園,前橋医療福祉専門学校,https://www.e-mirai.com/,https://shingakunet.com/gakko/SC003403/,https://shingaku.mynavi.jp/gakkou/4854/,0.95,school,200,school_name+prefecture,Dedicated domain (e-mirai = Mirai Gakuen)
39,茨城県,八文字学園,水戸看護福祉専門学校,https://www.mito.ac.jp/,https://www.mito.ac.jp/nursing/,https://shingakunet.com/gakko/SC005313/,0.85,corporation,200,school_name+corporation,Hachimonji Gakuen group site; school renamed to 水戸看護専門学校 in 2024
40,長崎県,株式会社ＭＥＴＲＯＰＬＵＳ,メトロITビジネスカレッジ,https://metro.ac.jp/,https://shingaku.mynavi.jp/gakkou/5505/,https://www.minkou.jp/vcollege/school/23613/,0.95,school,200,school_name+prefecture,Dedicated ac.jp domain
41,長野県,外語学園,松本調理師製菓師専門学校,https://www.m-chouri-seika.ac.jp/,https://shingakunet.com/gakko/SC004706/,https://school.js88.com/scl_sen/1663/,0.95,school,200,school_name+prefecture,Dedicated ac.jp domain; title confirmed
42,青森県,国立病院機構,弘前総合医療センター附属看護学校,https://hirosaki.hosp.go.jp/kango/index.html,https://shingakunet.com/gakko/SC005187/,https://nho.hosp.go.jp/education/cnt1-0_000286.html,0.90,corporation_subpage,200,school_name+prefecture,National Hospital Organization subpage; government domain
43,静岡県,静岡理工科大学,沼津情報・ビジネス専門学校,https://www.numasen.ac.jp/,https://shingakunet.com/gakko/SC001717/,https://shingaku.mynavi.jp/gakkou/3400/,0.95,school,200,school_name+prefecture,Dedicated ac.jp domain; title confirmed
44,香川県,穴吹学園,穴吹医療大学校,https://web.anabuki-college.net/department/medical/,https://kango.anabuki.ac.jp/,https://shingakunet.com/gakko/SC005068/,0.85,corporation_subpage,200,school_name+corporation,Anabuki College Group site; medical department page
45,高知県,高知県,高知県立幡多看護専門学校,https://www.pref.kochi.lg.jp/soshiki/130000/130122/,https://shingakunet.com/gakko/SC005942/,https://school.js88.com/scl_sen/2919/,0.85,government,200,school_name,Prefectural school on government site; no dedicated domain
46,鳥取県,鳥取県理容美容専門学校,鳥取県理容美容専門学校,https://www.toribi.ac.jp/,https://shinronavi.com/newschool/index/6645,https://shingakunet.com/gakko/SC006033/,0.95,school,200,school_name,Dedicated ac.jp domain
47,鹿児島県,赤塚学園,赤塚学園看護専門学校,https://akatuka.ac.jp/,https://shingakunet.com/gakko/SC005601/,https://school.js88.com/scl_sen/34024876/,0.90,corporation,200,school_name+prefecture,Corporation site covering multiple departments including nursing
48,東京都,コーセー学園,コーセー美容専門学校,https://kose-ac.jp/,https://shingakunet.com/gakko/SC002557/,https://shingaku.mynavi.jp/gakkou/381/,0.95,school,200,school_name,Dedicated domain; title confirmed; KOSE cosmetics affiliated
49,東京都,イーエスピー学園,ESPエンタテインメント東京,https://www.esp.ac.jp/tokyo/,https://shingakunet.com/gakko/SC001159/,https://www.best-shingaku.net/senmon/school50/,0.95,corporation_subpage,200,school_name,ESP group site with Tokyo campus subpage; title confirmed
50,東京都,田中育英会,東京エアトラベル・ホテル専門学校,https://www.technosac.jp/air/,https://shingakunet.com/gakko/SC002115/,https://shingaku.mynavi.jp/gakkou/645/,0.90,corporation_subpage,200,school_name,Technos College group site with school subpage
